"seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"KI270733.1",163133,163532,400,"*","*",-1.803837148,"Distal Intergenic",44,167218,167307,90,1,"ENSG00000276312","ENST00000615130",-3686,NA,NA,NA
"17",8173371,8173770,400,"*","*",-1.046081017,"Promoter (<=1kb)",17,8173454,8173587,134,2,"ENSG00000200463","ENST00000363593",0,"727676","SNORD118","small nucleolar RNA, C/D box 118"
"1",229426317,229426716,400,"*","*",-1.653366673,"Promoter (1-2kb)",1,229425020,229425650,631,1,"ENSG00000230331","ENST00000432935",1297,NA,NA,NA
"19",36771479,36771878,400,"*","*",-1.21679013,"Promoter (<=1kb)",19,36743480,36772807,29328,2,"ENSG00000267041","ENST00000591344",929,"342892","ZNF850","zinc finger protein 850"
"12",52765833,52766232,400,"*","*",2.019429525,"Promoter (2-3kb)",12,52763405,52763893,489,1,"ENSG00000258071","ENST00000550907",2428,NA,NA,NA
"11",12059828,12060227,400,"*","*",2.019239182,"Exon (ENST00000531559/ENSG00000254486, exon 2 of 2)",11,12066929,12073014,6086,1,"ENSG00000254991","ENST00000476130",-6702,NA,NA,NA
"19",47274158,47274557,400,"*","*",-0.91680501,"Promoter (<=1kb)",19,47274885,47275723,839,1,"ENSG00000257704","ENST00000552360",-328,"255783","INAFM1","InaF motif containing 1"
"GL000219.1",99580,99979,400,"*","*",-0.940402345,"Distal Intergenic",33,54224,83311,29088,2,"ENSG00000273748","ENST00000612919",-16269,NA,NA,NA
"2",208693522,208693921,400,"*","*",-1.745502912,"Intron (ENST00000419079/ENSG00000144407, intron 4 of 6)",2,208838363,208854503,16141,1,"ENSG00000144407","ENST00000487472",-144442,"5746","PTH2R","parathyroid hormone 2 receptor"
"4",102501710,102502109,400,"*","*",-1.259551999,"Promoter (<=1kb)",4,102501898,102617117,115220,1,"ENSG00000109320","ENST00000505458",0,"4790","NFKB1","nuclear factor kappa B subunit 1"
"22",37909666,37910065,400,"*","*",1.413073402,"Promoter (2-3kb)",22,37906882,37922036,15155,1,"ENSG00000100139","ENST00000489812",2784,"85377","MICALL1","MICAL like 1"
"11",507165,507564,400,"*","*",-0.892305987,"Promoter (<=1kb)",11,494515,507242,12728,2,"ENSG00000023191","ENST00000354420",0,"6050","RNH1","ribonuclease/angiogenin inhibitor 1"
"10",96502431,96502830,400,"*","*",1.825260884,"Intron (ENST00000357947/ENSG00000095587, intron 1 of 20)",10,96395193,96513918,118726,2,"ENSG00000095587","ENST00000469598",11088,"7093","TLL2","tolloid like 2"
"19",10292242,10292641,400,"*","*",-0.912507631,"Promoter (<=1kb)",19,10291473,10296776,5304,1,"ENSG00000105376","ENST00000586480",769,"7087","ICAM5","intercellular adhesion molecule 5"
"19",5720164,5720563,400,"*","*",-0.909133448,"Promoter (<=1kb)",19,5691835,5720165,28331,2,"ENSG00000196365","ENST00000593119",0,"9361","LONP1","lon peptidase 1, mitochondrial"
"12",120265978,120266377,400,"*","*",-1.263034071,"Promoter (<=1kb)",12,120210447,120265771,55325,2,"ENSG00000089159","ENST00000424649",-207,"5829","PXN","paxillin"
"4",70839927,70840326,400,"*","*",-0.925822499,"Promoter (<=1kb)",4,70819531,70839897,20367,2,"ENSG00000132463","ENST00000505068",-30,"2926","GRSF1","G-rich RNA sequence binding factor 1"
"5",2511481,2511880,400,"*","*",-1.547341447,"Distal Intergenic",5,2712591,2715237,2647,1,"ENSG00000281560","ENST00000626215",-200711,"101234261","LSINCT5","long stress-induced non-coding transcript 5"
"11",75237047,75237446,400,"*","*",-1.547344885,"Intron (ENST00000530792/ENSG00000255136, intron 1 of 3)",11,75240774,75243704,2931,1,"ENSG00000261594","ENST00000562197",-3328,"100507050","TPBGL","trophoblast glycoprotein like"
"3",49939844,49940243,400,"*","*",-0.91096192,"Promoter (<=1kb)",3,49940007,50077249,137243,1,"ENSG00000004534","ENST00000442092",0,"10180","RBM6","RNA binding motif protein 6"
"2",31199295,31199694,400,"*","*",1.767011247,"3' UTR",2,31173056,31217515,44460,2,"ENSG00000214711","ENST00000403897",17821,"440854","CAPN14","calpain 14"
"3",167734744,167735143,400,"*","*",-0.847943284,"Promoter (<=1kb)",3,167683298,167734892,51595,2,"ENSG00000114209","ENST00000392750",0,"11235","PDCD10","programmed cell death 10"
"22",30372548,30372947,400,"*","*",-1.146890193,"Promoter (<=1kb)",22,30373692,30376827,3136,1,"ENSG00000187860","ENST00000482413",-745,"550631","CCDC157","coiled-coil domain containing 157"
"14",35046129,35046528,400,"*","*",-0.866464839,"Promoter (<=1kb)",14,35046272,35083378,37107,1,"ENSG00000151327","ENST00000280987",0,"283635","FAM177A1","family with sequence similarity 177 member A1"
"19",18203947,18204346,400,"*","*",-0.811846342,"Promoter (<=1kb)",19,18196784,18204042,7259,2,"ENSG00000105649","ENST00000222256",0,"5864","RAB3A","RAB3A, member RAS oncogene family"
"19",39403851,39404250,400,"*","*",-0.925402699,"Promoter (1-2kb)",19,39402842,39404200,1359,1,"ENSG00000288919","ENST00000687686",1009,NA,NA,NA
"9",131981691,131982090,400,"*","*",-1.621249421,"Intron (ENST00000651950/ENSG00000160563, intron 3 of 8)",9,132031886,132079645,47760,2,"ENSG00000160563","ENST00000444872",97555,"9442","MED27","mediator complex subunit 27"
"10",43776939,43777338,400,"*","*",-1.88582771,"Promoter (1-2kb)",10,43777562,43778626,1065,2,"ENSG00000234973","ENST00000423349",1288,"102724264","LINC02658","long intergenic non-protein coding RNA 2658"
"4",185396334,185396733,400,"*","*",-0.84407577,"Promoter (<=1kb)",4,185396811,185400628,3818,1,"ENSG00000186352","ENST00000511393",-78,"353322","ANKRD37","ankyrin repeat domain 37"
"9",128128235,128128634,400,"*","*",-1.009903457,"Promoter (<=1kb)",9,128120694,128128462,7769,2,"ENSG00000148334","ENST00000277462",0,"80142","PTGES2","prostaglandin E synthase 2"
"1",6602561,6602960,400,"*","*",-0.934269056,"Promoter (<=1kb)",1,6590724,6602869,12146,2,"ENSG00000162413","ENST00000377658",0,"9903","KLHL21","kelch like family member 21"
"17",45051377,45051776,400,"*","*",-0.934271341,"Promoter (<=1kb)",17,45051610,45109016,57407,1,"ENSG00000136448","ENST00000592782",0,"4836","NMT1","N-myristoyltransferase 1"
"6",13187495,13187894,400,"*","*",1.895688342,"Intron (ENST00000693693/ENSG00000112137, intron 7 of 9)",6,13181604,13287843,106240,1,"ENSG00000112137","ENST00000692502",5891,"221692","PHACTR1","phosphatase and actin regulator 1"
"12",46221754,46222153,400,"*","*",-2.361426185,"Intron (ENST00000398637/ENSG00000111371, intron 5 of 16)",12,46239106,46239473,368,2,"ENSG00000274591","ENST00000611566",17320,NA,NA,NA
"16",27237395,27237794,400,"*","*",-0.916204727,"Intron (ENST00000361439/ENSG00000169189, intron 2 of 7)",16,27225172,27233078,7907,2,"ENSG00000169189","ENST00000562039",-4317,"197370","NSMCE1","NSE1 homolog, SMC5-SMC6 complex component"
"20",35454867,35455266,400,"*","*",-0.849325757,"Promoter (<=1kb)",20,35455164,35466204,11041,1,"ENSG00000126001","ENST00000446710",0,"11190","CEP250","centrosomal protein 250"
"4",24949140,24949539,400,"*","*",-1.520019763,"Intron (ENST00000389609/ENSG00000181982, intron 1 of 12)",4,24807996,24980148,172153,2,"ENSG00000181982","ENST00000389609",30609,"91050","CCDC149","coiled-coil domain containing 149"
"19",40609859,40610258,400,"*","*",-0.814570056,"Promoter (<=1kb)",19,40610168,40613828,3661,1,"ENSG00000090006","ENST00000546155",0,"8425","LTBP4","latent transforming growth factor beta binding protein 4"
"15",70091961,70092360,400,"*","*",-1.277351044,"Promoter (2-3kb)",15,70049802,70094785,44984,2,"ENSG00000140332","ENST00000654081",2425,"7090","TLE3","TLE family member 3, transcriptional corepressor"
"6",90479207,90479606,400,"*","*",-1.277863094,"Distal Intergenic",6,90515634,90537218,21585,2,"ENSG00000135341","ENST00000479630",57612,"6885","MAP3K7","mitogen-activated protein kinase kinase kinase 7"
"1",182789634,182790033,400,"*","*",-0.832464789,"Promoter (<=1kb)",1,182789737,182827020,37284,1,"ENSG00000135838","ENST00000463899",0,"80896","NPL","N-acetylneuraminate pyruvate lyase"
"16",74717767,74718166,400,"*","*",1.152089384,"Promoter (<=1kb)",16,74712955,74717106,4152,2,"ENSG00000103089","ENST00000562145",-661,"79152","FA2H","fatty acid 2-hydroxylase"
"1",170074476,170074875,400,"*","*",-0.802311732,"Promoter (<=1kb)",1,169921326,170074588,153263,2,"ENSG00000075945","ENST00000367767",0,"22920","KIFAP3","kinesin associated protein 3"
"19",17226259,17226658,400,"*","*",-0.816936566,"Promoter (<=1kb)",19,17226615,17229165,2551,1,"ENSG00000099330","ENST00000597836",0,"79629","OCEL1","occludin/ELL domain containing 1"
"3",126355914,126356313,400,"*","*",-0.867042616,"Promoter (1-2kb)",3,126342635,126357408,14774,2,"ENSG00000163884","ENST00000296233",1095,"28999","KLF15","KLF transcription factor 15"
"13",48037561,48037960,400,"*","*",-0.867133706,"Promoter (<=1kb)",13,47942689,48037942,95254,2,"ENSG00000136143","ENST00000646804",0,"8803","SUCLA2","succinate-CoA ligase ADP-forming subunit beta"
"2",677033,677432,400,"*","*",-0.742651062,"Promoter (<=1kb)",2,663877,677406,13530,2,"ENSG00000151353","ENST00000281017",0,"129787","TMEM18","transmembrane protein 18"
"1",120850465,120850864,400,"*","*",-1.227672854,"Promoter (<=1kb)",1,120850819,120850985,167,2,"ENSG00000275538","ENST00000613023",121,"101954277","RNVU1-19","RNA, variant U1 small nuclear 19"
"6",27132700,27133099,400,"*","*",-0.648329131,"Promoter (<=1kb)",6,27125897,27132750,6854,2,"ENSG00000124635","ENST00000607124",0,"8970","H2BC11","H2B clustered histone 11"
"7",116432606,116433005,400,"*","*",-2.058514217,"Exon (ENST00000467035/ENSG00000105971, exon 6 of 9)",7,116416117,116465276,49160,2,"ENSG00000237813","ENST00000439070",32271,NA,NA,NA
"15",62060277,62060676,400,"*","*",-0.955500234,"Promoter (<=1kb)",15,61852389,62060447,208059,2,"ENSG00000129003","ENST00000644861",0,"54832","VPS13C","vacuolar protein sorting 13 homolog C"
"X",151801553,151801952,400,"*","*",-1.671608127,"Distal Intergenic",23,151734746,151745564,10819,1,"ENSG00000183862","ENST00000329903",66807,"1260","CNGA2","cyclic nucleotide gated channel subunit alpha 2"
"6",33490396,33490795,400,"*","*",1.420278854,"Distal Intergenic",6,33455406,33456190,785,1,"ENSG00000213588","ENST00000612407",34990,"221504","ZBTB9","zinc finger and BTB domain containing 9"
"14",56872270,56872669,400,"*","*",-1.283540922,"Intron (ENST00000534909/ENSG00000248550, intron 1 of 3)",14,56880818,56893159,12342,2,"ENSG00000258776","ENST00000555946",20490,NA,NA,NA
"20",25603143,25603542,400,"*","*",-1.554831125,"Distal Intergenic",20,25611153,25611223,71,1,"ENSG00000251883","ENST00000516074",-7611,"106481164","RNU6ATAC17P","RNA, U6atac small nuclear 17, pseudogene"
"1",110558972,110559371,400,"*","*",-1.671374973,"Intron (ENST00000640680/ENSG00000177301, intron 3 of 8)",1,110517217,110519175,1959,2,"ENSG00000143105","ENST00000369771",-39797,"3744","KCNA10","potassium voltage-gated channel subfamily A member 10"
"1",235328199,235328598,400,"*","*",-0.771867215,"Promoter (<=1kb)",1,235166895,235328219,161325,2,"ENSG00000054267","ENST00000349213",0,"51742","ARID4B","AT-rich interaction domain 4B"
"3",49412046,49412445,400,"*","*",-0.751673743,"Promoter (<=1kb)",3,49373240,49412097,38858,2,"ENSG00000067560","ENST00000431929",0,"387","RHOA","ras homolog family member A"
"6",26596693,26597092,400,"*","*",-0.993697359,"Promoter (<=1kb)",6,26596953,26600739,3787,1,"ENSG00000146109","ENST00000274849",0,"29777","ABT1","activator of basal transcription 1"
"1",167714436,167714835,400,"*","*",-0.795729343,"Distal Intergenic",1,167721192,167722014,823,1,"ENSG00000197965","ENST00000487858",-6357,"9019","MPZL1","myelin protein zero like 1"
"12",49342247,49342646,400,"*","*",-0.914708059,"Distal Intergenic",12,49346888,49353690,6803,1,"ENSG00000178401","ENST00000549441",-4242,"79962","DNAJC22","DnaJ heat shock protein family (Hsp40) member C22"
"17",48054155,48054554,400,"*","*",-0.895922878,"Promoter (<=1kb)",17,48054328,48056444,2117,1,"ENSG00000082641","ENST00000579537",0,"4779","NFE2L1","NFE2 like bZIP transcription factor 1"
"19",49210625,49211024,400,"*","*",-1.456517678,"Promoter (<=1kb)",19,49210734,49211834,1101,1,"ENSG00000130529","ENST00000597316",0,"54795","TRPM4","transient receptor potential cation channel subfamily M member 4"
"1",209516045,209516444,400,"*","*",-1.456535574,"Distal Intergenic",1,209531236,209536351,5116,1,"ENSG00000287902","ENST00000657064",-14792,NA,NA,NA
"12",68808028,68808427,400,"*","*",-0.785858736,"Promoter (<=1kb)",12,68808177,68845544,37368,1,"ENSG00000135679","ENST00000258149",0,"4193","MDM2","MDM2 proto-oncogene"
"7",55971077,55971476,400,"*","*",-0.813089376,"Intron (ENST00000446692/ENSG00000146729, intron 1 of 6)",7,55965113,55981498,16386,1,"ENSG00000146729","ENST00000472404",5964,"2631","NIPSNAP2","nipsnap homolog 2"
"14",24440229,24440628,400,"*","*",-1.100295594,"Promoter (<=1kb)",14,24440101,24440926,826,2,"ENSG00000100445","ENST00000555561",298,"56948","SDR39U1","short chain dehydrogenase/reductase family 39U member 1"
"20",53700944,53701343,400,"*","*",-1.290563507,"Distal Intergenic",20,53668697,53668758,62,2,"ENSG00000238468","ENST00000459331",-32186,"100147762","RNU7-14P","RNA, U7 small nuclear 14 pseudogene"
"16",88776566,88776965,400,"*","*",-1.179606736,"Intron (ENST00000301015/ENSG00000103335, intron 1 of 50)",16,88715338,88785220,69883,2,"ENSG00000103335","ENST00000301015",8255,"9780","PIEZO1","piezo type mechanosensitive ion channel component 1"
"X",101909880,101910279,400,"*","*",1.64278157,"Promoter (1-2kb)",23,101911529,101912072,544,1,"ENSG00000235196","ENST00000429048",-1250,NA,NA,NA
"2",1104913,1105312,400,"*","*",1.642575836,"Promoter (2-3kb)",2,1102546,1209230,106685,1,"ENSG00000172554","ENST00000463442",2367,"54221","SNTG2","syntrophin gamma 2"
"10",97426012,97426411,400,"*","*",-0.788018712,"Promoter (<=1kb)",10,97356701,97426074,69374,2,"ENSG00000052749","ENST00000536831",0,"23223","RRP12","ribosomal RNA processing 12 homolog"
"6",3053542,3053941,400,"*","*",-0.844816501,"Promoter (1-2kb)",6,3055849,3057357,1509,1,"ENSG00000229282","ENST00000433761",-1908,NA,NA,NA
"15",97960345,97960744,400,"*","*",-0.762877345,"Promoter (<=1kb)",15,97960703,97973833,13131,1,"ENSG00000140450","ENST00000268042",0,"91947","ARRDC4","arrestin domain containing 4"
"6",20402330,20402729,400,"*","*",-1.064788869,"Promoter (<=1kb)",6,20401879,20493714,91836,1,"ENSG00000112242","ENST00000346618",451,"1871","E2F3","E2F transcription factor 3"
"X",2928935,2929334,400,"*","*",1.368300504,"Promoter (<=1kb)",23,2913614,2929275,15662,2,"ENSG00000006756","ENST00000217890",0,"414","ARSD","arylsulfatase D"
"10",110405246,110405645,400,"*","*",-1.372188025,"Distal Intergenic",10,110450629,110451240,612,1,"ENSG00000237642","ENST00000428894",-44984,NA,NA,NA
"5",172807154,172807553,400,"*","*",1.008669517,"Promoter (<=1kb)",5,172807444,172808064,621,1,"ENSG00000288737","ENST00000691985",0,NA,NA,NA
"12",120710289,120710688,400,"*","*",-1.135455736,"Promoter (<=1kb)",12,120710458,120711353,896,1,"ENSG00000175970","ENST00000618898",0,"84747","UNC119B","unc-119 lipid binding chaperone B"
"20",63653672,63654071,400,"*","*",-0.884468648,"Promoter (<=1kb)",20,63639712,63653424,13713,2,"ENSG00000197457","ENST00000370053",-248,"50861","STMN3","stathmin 3"
"6",30717319,30717718,400,"*","*",-0.709325842,"Promoter (<=1kb)",6,30713940,30717447,3508,2,"ENSG00000137337","ENST00000425072",0,"9656","MDC1","mediator of DNA damage checkpoint 1"
"19",56315064,56315463,400,"*","*",-0.814879872,"Promoter (<=1kb)",19,56315254,56316803,1550,1,"ENSG00000267549","ENST00000587620",0,NA,NA,NA
"16",3106525,3106924,400,"*","*",-1.032137314,"Promoter (<=1kb)",16,3106764,3109579,2816,1,"ENSG00000263011","ENST00000570700",0,NA,NA,NA
"20",30630936,30631335,400,"*","*",1.491630678,"Distal Intergenic",20,30713240,30713346,107,2,"ENSG00000274385","ENST00000618440",82011,"124904986","LOC124904986","U6 spliceosomal RNA"
"3",16837259,16837658,400,"*","*",1.491630753,"Intron (ENST00000460467/ENSG00000154822, intron 1 of 2)",3,16802651,17011084,208434,1,"ENSG00000154822","ENST00000460467",34608,"23228","PLCL2","phospholipase C like 2"
"7",44208356,44208755,400,"*","*",1.491637172,"Promoter (<=1kb)",7,44208136,44212613,4478,1,"ENSG00000106636","ENST00000424864",220,"10652","YKT6","YKT6 v-SNARE homolog"
"9",90054694,90055093,400,"*","*",1.491645817,"Distal Intergenic",9,90020654,90041499,20846,2,"ENSG00000227555","ENST00000426593",-13195,"286370","MIR4290HG","MIR4290 host gene"
"6",27146833,27147232,400,"*","*",-0.630676535,"Promoter (<=1kb)",6,27146361,27146855,495,2,"ENSG00000197903","ENST00000356950",0,"85236","H2BC12","H2B clustered histone 12"
"16",3003771,3004170,400,"*","*",-0.787831774,"Promoter (<=1kb)",16,3004132,3004859,728,1,"ENSG00000289281","ENST00000692767",0,NA,NA,NA
"2",207529728,207530127,400,"*","*",-0.664848476,"Promoter (<=1kb)",2,207529737,207597789,68053,1,"ENSG00000118260","ENST00000430624",0,"1385","CREB1","cAMP responsive element binding protein 1"
"22",50252075,50252474,400,"*","*",-0.848996003,"Promoter (<=1kb)",22,50250119,50251405,1287,2,"ENSG00000100429","ENST00000497483",-670,"83933","HDAC10","histone deacetylase 10"
"1",63665438,63665837,400,"*","*",-1.178746816,"Distal Intergenic",1,63655743,63656047,305,1,"ENSG00000244256","ENST00000489463",9695,"106479269","RN7SL130P","RNA, 7SL, cytoplasmic 130, pseudogene"
"9",27247775,27248174,400,"*","*",-1.178963579,"Intron (ENST00000638495/ENSG00000283945, intron 8 of 9)",9,27245680,27278503,32824,2,"ENSG00000283945","ENST00000638495",30329,NA,NA,NA
"1",26854787,26855186,400,"*","*",-1.178892555,"3' UTR",1,26851129,26853211,2083,1,"ENSG00000204160","ENST00000478902",3658,"84243","ZDHHC18","zinc finger DHHC-type palmitoyltransferase 18"
"6",26307304,26307703,400,"*","*",-1.485197108,"Distal Intergenic",6,26321876,26322292,417,2,"ENSG00000220875","ENST00000404612",14589,"100289545","H3C9P","H3 clustered histone 9, pseudogene"
"19",45469102,45469501,400,"*","*",-0.774556419,"Promoter (<=1kb)",19,45469876,45474597,4722,1,"ENSG00000125740","ENST00000592811",-375,"2354","FOSB","FosB proto-oncogene, AP-1 transcription factor subunit"
"16",22190441,22190840,400,"*","*",-0.600884449,"3' UTR",16,22170309,22175524,5216,2,"ENSG00000287739","ENST00000659141",-14917,NA,NA,NA
"6",26341499,26341898,400,"*","*",-0.973869062,"Distal Intergenic",6,26324705,26331900,7196,2,"ENSG00000287050","ENST00000655687",-9599,NA,NA,NA
"2",198104128,198104527,400,"*","*",-1.390112478,"Intron (ENST00000428675/ENSG00000115896, intron 5 of 5)",2,198083749,198149884,66136,1,"ENSG00000115896","ENST00000437704",20379,"5334","PLCL1","phospholipase C like 1 (inactive)"
"19",1062783,1063182,400,"*","*",-0.872488407,"Promoter (<=1kb)",19,1062179,1065458,3280,1,"ENSG00000064687","ENST00000612569",604,"10347","ABCA7","ATP binding cassette subfamily A member 7"
"12",56067128,56067527,400,"*","*",-1.992086139,"Distal Intergenic",12,56076799,56083902,7104,1,"ENSG00000065361","ENST00000643266",-9272,"2065","ERBB3","erb-b2 receptor tyrosine kinase 3"
"1",52366117,52366516,400,"*","*",-0.712373968,"Promoter (<=1kb)",1,52350593,52366193,15601,2,"ENSG00000154222","ENST00000371586",0,"200014","CC2D1B","coiled-coil and C2 domain containing 1B"
"19",54137171,54137570,400,"*","*",-0.639798122,"Promoter (<=1kb)",19,54137749,54145698,7950,1,"ENSG00000088038","ENST00000644245",-179,"4849","CNOT3","CCR4-NOT transcription complex subunit 3"
"11",67288781,67289180,400,"*","*",-0.923277427,"Promoter (<=1kb)",11,67289300,67291651,2352,1,"ENSG00000172932","ENST00000512101",-120,"338692","ANKRD13D","ankyrin repeat domain 13D"
"4",70318319,70318718,400,"*","*",-1.987442523,"Distal Intergenic",4,70334981,70337116,2136,1,"ENSG00000145309","ENST00000273936",-16263,"85438","CABS1","calcium binding protein, spermatid associated 1"
"1",161159236,161159635,400,"*","*",-0.836112162,"Promoter (<=1kb)",1,161159450,161162368,2919,1,"ENSG00000143258","ENST00000492950",0,"27005","USP21","ubiquitin specific peptidase 21"
"14",49892740,49893139,400,"*","*",-0.722866012,"Promoter (<=1kb)",14,49893079,49897054,3976,1,"ENSG00000165527","ENST00000693319",0,"382","ARF6","ADP ribosylation factor 6"
"8",115981276,115981675,400,"*","*",-1.308580535,"Intron (ENST00000505156/ENSG00000249917, intron 7 of 13)",8,116022686,116022779,94,2,"ENSG00000199450","ENST00000362580",41104,"100873529","RNA5SP276","RNA, 5S ribosomal pseudogene 276"
"11",112466912,112467311,400,"*","*",1.365534581,"Intron (ENST00000528496/ENSG00000254968, intron 2 of 2)",11,112461468,112461920,453,2,"ENSG00000213233","ENST00000463396",-4992,"100271617","RPL23AP62","ribosomal protein L23a pseudogene 62"
"7",25125196,25125595,400,"*","*",-0.682735624,"Promoter (<=1kb)",7,25118656,25125260,6605,2,"ENSG00000172115","ENST00000305786",0,"54205","CYCS","cytochrome c, somatic"
"1",206565533,206565932,400,"*","*",1.57563077,"Intron (ENST00000579436/ENSG00000266094, intron 2 of 5)",1,206557561,206583695,26135,1,"ENSG00000266094","ENST00000605120",7972,"83593","RASSF5","Ras association domain family member 5"
"1",184257548,184257947,400,"*","*",1.575738476,"Distal Intergenic",1,184315658,184315765,108,1,"ENSG00000207080","ENST00000384352",-57711,NA,NA,NA
"X",16870236,16870635,400,"*","*",-0.803516215,"Promoter (<=1kb)",23,16844341,16870362,26022,2,"ENSG00000102054","ENST00000380087",0,"5931","RBBP7","RB binding protein 7, chromatin remodeling factor"
"5",157731569,157731968,400,"*","*",-0.788489011,"Promoter (<=1kb)",5,157731420,157741449,10030,1,"ENSG00000113272","ENST00000231198",149,"54974","THG1L","tRNA-histidine guanylyltransferase 1 like"
"16",85316366,85316765,400,"*","*",-0.935625724,"Intron (ENST00000637419/ENSG00000131149, intron 1 of 2)",16,85306226,85306325,100,2,"ENSG00000266307","ENST00000583199",-10041,"100847022","MIR5093","microRNA 5093"
"16",10794375,10794774,400,"*","*",1.428269709,"Intron (ENST00000572980/ENSG00000166676, intron 2 of 8)",16,10769240,10775031,5792,2,"ENSG00000166676","ENST00000619408",-19344,"780776","TVP23A","trans-golgi network vesicle protein 23 homolog A"
"8",25064125,25064524,400,"*","*",-1.126508689,"Distal Intergenic",8,25000436,25003439,3004,1,"ENSG00000288055","ENST00000670816",63689,NA,NA,NA
"7",79452123,79452522,400,"*","*",-1.126596805,"Promoter (<=1kb)",7,79452877,79459637,6761,1,"ENSG00000234456","ENST00000616796",-355,"100505881","MAGI2-AS3","MAGI2 antisense RNA 3"
"10",125988782,125989181,400,"*","*",-1.126721872,"Promoter (<=1kb)",10,125988551,126009592,21042,1,"ENSG00000203780","ENST00000492670",231,"92565","FANK1","fibronectin type III and ankyrin repeat domains 1"
"3",129335071,129335470,400,"*","*",1.428250106,"Promoter (<=1kb)",3,129334586,129335074,489,1,"ENSG00000270492","ENST00000604126",485,NA,NA,NA
"X",68865709,68866108,400,"*","*",-1.238010566,"Distal Intergenic",23,68829021,68842160,13140,1,"ENSG00000090776","ENST00000204961",36688,"1947","EFNB1","ephrin B1"
"19",10333357,10333756,400,"*","*",-0.704114807,"Promoter (<=1kb)",19,10316212,10333529,17318,2,"ENSG00000161847","ENST00000617231",0,"125950","RAVER1","ribonucleoprotein, PTB binding 1"
"2",241457505,241457904,400,"*","*",1.761660278,"Promoter (1-2kb)",2,241456435,241463458,7024,1,"ENSG00000006607","ENST00000476799",1070,"9855","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2"
"22",41526188,41526587,400,"*","*",0.898152359,"Promoter (2-3kb)",22,41523354,41529267,5914,1,"ENSG00000100412","ENST00000676883",2834,"50","ACO2","aconitase 2"
"9",89318587,89318986,400,"*","*",-0.701544298,"Promoter (<=1kb)",9,89318851,89359662,40812,1,"ENSG00000187742","ENST00000534113",0,"79048","SECISBP2","SECIS binding protein 2"
"19",15836765,15837209,445,"*","*",-0.674461509,"Promoter (<=1kb)",19,15821851,15835854,14004,2,"ENSG00000288618","ENST00000589310",-911,NA,NA,NA
