seqnames,start,end,width,log2FC,seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENTREZID,SYMBOL,GENENAME
11,34280987,34281387,*,-0.4305409,11,34280988,34281387,400,*,*,-0.4305409,"Intron (ENST00000435224/ENSG00000166016, intron 1 of 16)",11,34173174,34242545,69372,2,ENSG00000166016,ENST00000530814,-38443,25841,ABTB2,ankyrin repeat and BTB domain containing 2
12,109257509,109257909,*,-0.55869263,12,109257510,109257909,400,*,*,-0.55869263,"Intron (ENST00000338432/ENSG00000076555, intron 45 of 52)",12,109263022,109266941,3920,1,ENSG00000076555,ENST00000537279,-5113,32,ACACB,acetyl-CoA carboxylase beta
15,88881512,88881912,*,-0.598015253,15,88881513,88881912,400,*,*,-0.598015253,"Exon (ENST00000359595/ENSG00000140511, exon 3 of 5)",15,88873713,88874841,1129,1,ENSG00000157766,ENST00000558604,7800,176,ACAN,aggrecan
22,41526187,41526587,*,0.898152359,22,41526188,41526587,400,*,*,0.898152359,Promoter (2-3kb),22,41523354,41529267,5914,1,ENSG00000100412,ENST00000676883,2834,50,ACO2,aconitase 2
1,6395559,6395959,*,-0.510221675,1,6395560,6395959,400,*,*,-0.510221675,Promoter (1-2kb),1,6264272,6393767,129496,2,ENSG00000097021,ENST00000361521,-1793,11332,ACOT7,acyl-CoA thioesterase 7
X,23715716,23716116,*,-0.855722264,X,23715717,23716116,400,*,*,-0.855722264,"Intron (ENST00000379303/ENSG00000123130, intron 8 of 15)",23,23707717,23722742,15026,2,ENSG00000123130,ENST00000449612,6626,23597,ACOT9,acyl-CoA thioesterase 9
19,6131965,6132365,*,-0.635414077,19,6131966,6132365,400,*,*,-0.635414077,Promoter (2-3kb),19,6135247,6151797,16551,1,ENSG00000130377,ENST00000591738,-2882,81616,ACSBG2,acyl-CoA synthetase bubblegum family member 2
10,95202352,95202752,*,-3.026306929,10,95202353,95202752,400,*,*,-3.026306929,"Intron (ENST00000327739/ENSG00000173124, intron 3 of 8)",10,95194477,95228924,34448,1,ENSG00000173124,ENST00000394005,7876,142827,ACSM6,acyl-CoA synthetase medium chain family member 6
20,34919994,34920394,*,0.791925015,20,34919995,34920394,400,*,*,0.791925015,Promoter (<=1kb),20,34920532,34926276,5745,1,ENSG00000131069,ENST00000491533,-138,55902,ACSS2,acyl-CoA synthetase short chain family member 2
7,5530492,5530892,*,-0.81276918,7,5530493,5530892,400,*,*,-0.81276918,Promoter (<=1kb),7,5526409,5530601,4193,2,ENSG00000075624,ENST00000674681,0,60,ACTB,actin beta
10,69043906,69044306,*,0.739151063,10,69043907,69044306,400,*,*,0.739151063,Distal Intergenic,10,69022778,69023866,1089,1,ENSG00000229001,ENST00000411655,21129,389976,ACTBP14,ACTB pseudogene 14
1,236755018,236755418,*,0.421058532,1,236755019,236755418,400,*,*,0.421058532,Promoter (<=1kb),1,236755382,236762909,7528,1,ENSG00000077522,ENST00000682490,0,88,ACTN2,actinin alpha 2
2,157814762,157815162,*,-0.684335906,2,157814763,157815162,400,*,*,-0.684335906,"Intron (ENST00000682025/ENSG00000115170, intron 3 of 11)",2,157736449,157806996,70548,2,ENSG00000115170,ENST00000409283,-7767,90,ACVR1,activin A receptor type 1
22,17237578,17237978,*,-0.450101952,22,17237579,17237978,400,*,*,-0.450101952,"Intron (ENST00000649310/ENSG00000093072, intron 1 of 1)",22,17179304,17221989,42686,2,ENSG00000093072,ENST00000399839,-15590,51816,ADA2,adenosine deaminase 2
16,49505734,49506134,*,0.634029424,16,49505735,49506134,400,*,*,0.634029424,"Intron (ENST00000561648/ENSG00000102935, intron 8 of 8)",16,49517762,49518601,840,2,ENSG00000260089,ENST00000569937,12467,1596,ADAM3B,ADAM metallopeptidase domain 3B (pseudogene)
11,130479652,130480052,*,0.718894594,11,130479653,130480052,400,*,*,0.718894594,Distal Intergenic,11,130448645,130476645,28001,1,ENSG00000166106,ENST00000299164,31008,170689,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15
5,179209381,179209781,*,-0.435333259,5,179209382,179209781,400,*,*,-0.435333259,"Intron (ENST00000251582/ENSG00000087116, intron 3 of 21)",5,179114289,179122839,8551,2,ENSG00000087116,ENST00000523450,-86543,9509,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
5,179352087,179352487,*,0.584414223,5,179352088,179352487,400,*,*,0.584414223,Distal Intergenic,5,179110853,179345461,234609,2,ENSG00000087116,ENST00000251582,-6627,9509,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
4,72603464,72603864,*,-0.408366099,4,72603465,72603864,400,*,*,-0.408366099,Distal Intergenic,4,72280969,72569221,288253,2,ENSG00000156140,ENST00000286657,-34244,9508,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3
15,82318113,82318513,*,-0.765742429,15,82318114,82318513,400,*,*,-0.765742429,"Intron (ENST00000613213/ENSG00000274376, intron 7 of 19)",15,82298856,82304859,6004,1,ENSG00000274376,ENST00000620003,19258,390660,ADAMTS7P1,ADAMTS7 pseudogene 1
7,45590720,45591120,*,1.017055057,7,45590721,45591120,400,*,*,1.017055057,"Intron (ENST00000432715/ENSG00000164742, intron 2 of 9)",7,45574885,45664671,89787,1,ENSG00000164742,ENST00000621543,15836,107,ADCY1,adenylate cyclase 1
8,131040565,131040965,*,-0.72968072,8,131040566,131040965,400,*,*,-0.72968072,Promoter (<=1kb),8,130780301,131040909,260609,2,ENSG00000155897,ENST00000286355,0,114,ADCY8,adenylate cyclase 8
4,2902633,2903033,*,0.783555992,4,2902634,2903033,400,*,*,0.783555992,Promoter (1-2kb),4,2904664,2907813,3150,1,ENSG00000087274,ENST00000536078,-1631,118,ADD1,adducin 1
4,22470639,22471039,*,-0.624920749,4,22470640,22471039,400,*,*,-0.624920749,Promoter (2-3kb),4,22442650,22473806,31157,2,ENSG00000152990,ENST00000506133,2767,166647,ADGRA3,adhesion G protein-coupled receptor A3
6,69145483,69145883,*,-0.833981774,6,69145484,69145883,400,*,*,-0.833981774,"Intron (ENST00000370598/ENSG00000135298, intron 17 of 31)",6,69232406,69389505,157100,1,ENSG00000135298,ENST00000238918,-86523,577,ADGRB3,adhesion G protein-coupled receptor B3
X,19108938,19109338,*,-1.296120776,X,19108939,19109338,400,*,*,-1.296120776,"Intron (ENST00000379869/ENSG00000173698, intron 1 of 28)",23,18989314,19122461,133148,2,ENSG00000173698,ENST00000357991,13123,10149,ADGRG2,adhesion G protein-coupled receptor G2
1,79269536,79269936,*,-0.819938626,1,79269537,79269936,400,*,*,-0.819938626,"Intron (ENST00000661030/ENSG00000162618, intron 1 of 16)",1,78889960,79282124,392165,2,ENSG00000162618,ENST00000661030,12188,64123,ADGRL4,adhesion G protein-coupled receptor L4
20,38579008,38579408,*,-0.765742441,20,38579009,38579408,400,*,*,-0.765742441,Promoter (1-2kb),20,38581195,38585695,4501,1,ENSG00000182035,ENST00000373348,-1787,149685,ADIG,adipogenin
18,80119848,80120248,*,0.603839771,18,80119849,80120248,400,*,*,0.603839771,Promoter (2-3kb),18,80117616,80147523,29908,1,ENSG00000101544,ENST00000561195,2233,22850,ADNP2,ADNP homeobox 2
22,24459851,24460251,*,0.612994701,22,24459852,24460251,400,*,*,0.612994701,"Intron (ENST00000326341/ENSG00000178803, intron 3 of 6)",22,24432840,24433634,795,1,ENSG00000128271,ENST00000439591,27012,135,ADORA2A,adenosine A2a receptor
22,24494787,24495187,*,-0.602210942,22,24494788,24495187,400,*,*,-0.602210942,Promoter (<=1kb),22,24429206,24494800,65595,2,ENSG00000178803,ENST00000326341,0,646023,ADORA2A-AS1,ADORA2A antisense RNA 1
17,10702426,10702826,*,0.526899957,17,10702427,10702826,400,*,*,0.526899957,Promoter (2-3kb),17,10704900,10711230,6331,1,ENSG00000170222,ENST00000609540,-2074,56985,ADPRM,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
6,11748818,11749218,*,0.425931097,6,11748819,11749218,400,*,*,0.425931097,"Intron (ENST00000505099/ENSG00000111863, intron 1 of 4)",6,11713675,11736714,23040,2,ENSG00000111863,ENST00000514824,-12105,84830,ADTRP,androgen dependent TFPI regulating protein
2,99660903,99661303,*,-0.661268456,2,99660904,99661303,400,*,*,-0.661268456,"Intron (ENST00000409236/ENSG00000144218, intron 10 of 22)",2,99550832,99593770,42939,2,ENSG00000144218,ENST00000445815,-67134,3899,AFF3,ALF transcription elongation factor 3
2,235658434,235658834,*,-0.529852032,2,235658435,235658834,400,*,*,-0.529852032,"Intron (ENST00000304032/ENSG00000157985, intron 1 of 17)",2,235669604,236126554,456951,1,ENSG00000157985,ENST00000409538,-10770,116987,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
7,141652625,141653025,*,-0.533364302,7,141652626,141653025,400,*,*,-0.533364302,3' UTR,7,141649131,141653065,3935,1,ENSG00000006530,ENST00000494053,3495,55750,AGK,acylglycerol kinase
21,43903509,43903909,*,-0.765741936,21,43903510,43903909,400,*,*,-0.765741936,Promoter (<=1kb),21,43903891,43984673,80783,1,ENSG00000160216,ENST00000327505,0,56894,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3
1,4709904,4710304,*,0.950828238,1,4709905,4710304,400,*,*,0.950828238,Promoter (<=1kb),1,4711155,4712165,1011,1,ENSG00000196581,ENST00000466761,-851,55966,AJAP1,adherens junctions associated protein 1
7,91971981,91972381,*,0.622845765,7,91971982,91972381,400,*,*,0.622845765,"Intron (ENST00000680072/ENSG00000127914, intron 1 of 48)",7,91941100,92110582,169483,1,ENSG00000127914,ENST00000359028,30882,10142,AKAP9,A-kinase anchoring protein 9
10,5068490,5068890,*,-1.470533209,10,5068491,5068890,400,*,*,-1.470533209,"Intron (ENST00000605781/ENSG00000196139, intron 1 of 5)",10,5077638,5107680,30043,1,ENSG00000196139,ENST00000605149,-8748,8644,AKR1C3,aldo-keto reductase family 1 member C3
9,113390815,113391215,*,-0.653120915,9,113390816,113391215,400,*,*,-0.653120915,Promoter (1-2kb),9,113390906,113392555,1650,2,ENSG00000148218,ENST00000482001,1340,210,ALAD,aminolevulinate dehydratase
1,95089498,95089898,*,-0.558638208,1,95089499,95089898,400,*,*,-0.558638208,Distal Intergenic,1,94974405,95072951,98547,2,ENSG00000172339,ENST00000370205,-16548,199857,ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit
2,29799860,29800260,*,-0.817343838,2,29799861,29800260,400,*,*,-0.817343838,"Intron (ENST00000389048/ENSG00000171094, intron 1 of 28)",2,29192777,29717700,524924,2,ENSG00000171094,ENST00000618119,-82161,238,ALK,ALK receptor tyrosine kinase
17,8105029,8105429,*,-0.485023019,17,8105030,8105429,400,*,*,-0.485023019,Promoter (1-2kb),17,8096249,8103515,7267,2,ENSG00000179148,ENST00000583808,-1515,59344,ALOXE3,arachidonate lipoxygenase 3
12,53428939,53429339,*,-0.492232887,12,53428940,53429339,400,*,*,-0.492232887,5' UTR,12,53425116,53430283,5168,1,ENSG00000135409,ENST00000550839,3824,269,AMHR2,anti-Mullerian hormone receptor type 2
11,10334260,10334660,*,0.625278221,11,10334261,10334660,400,*,*,0.625278221,"Intron (ENST00000527261/ENSG00000133805, intron 2 of 2)",11,10330660,10410838,80179,1,ENSG00000133805,ENST00000295663,3601,272,AMPD3,adenosine monophosphate deaminase 3
7,38392380,38392780,*,-1.458322883,7,38392381,38392780,400,*,*,-1.458322883,Promoter (<=1kb),7,38389848,38392719,2872,2,ENSG00000078053,ENST00000460887,0,273,AMPH,amphiphysin
11,72112290,72112690,*,-0.580893159,11,72112291,72112690,400,*,*,-0.580893159,Promoter (<=1kb),11,72109590,72112686,3097,2,ENSG00000110200,ENST00000545944,0,25906,ANAPC15,anaphase promoting complex subunit 15
1,11187350,11187750,*,1.076047442,1,11187351,11187750,400,*,*,1.076047442,Promoter (1-2kb),1,11189355,11195981,6627,1,ENSG00000171819,ENST00000376819,-1605,10218,ANGPTL7,angiopoietin like 7
8,41712021,41712421,*,0.444337931,8,41712022,41712421,400,*,*,0.444337931,"Intron (ENST00000347528/ENSG00000029534, intron 16 of 41)",8,41655324,41706179,50856,2,ENSG00000029534,ENST00000520299,-5843,286,ANK1,ankyrin 1
11,67288780,67289180,*,-0.923277427,11,67288781,67289180,400,*,*,-0.923277427,Promoter (<=1kb),11,67289300,67291651,2352,1,ENSG00000172932,ENST00000512101,-120,338692,ANKRD13D,ankyrin repeat domain 13D
19,32598031,32598431,*,0.426225761,19,32598032,32598431,400,*,*,0.426225761,Promoter (1-2kb),19,32598328,32600286,1959,2,ENSG00000105186,ENST00000587667,1855,84079,ANKRD27,ankyrin repeat domain 27
18,23607150,23607550,*,0.856523188,18,23607151,23607550,400,*,*,0.856523188,"Intron (ENST00000592179/ENSG00000154065, intron 9 of 9)",18,23618541,23619723,1183,2,ENSG00000154065,ENST00000586511,12173,147463,ANKRD29,ankyrin repeat domain 29
4,185396333,185396733,*,-0.84407577,4,185396334,185396733,400,*,*,-0.84407577,Promoter (<=1kb),4,185396811,185400628,3818,1,ENSG00000186352,ENST00000511393,-78,353322,ANKRD37,ankyrin repeat domain 37
2,197286991,197287391,*,0.971631031,2,197286992,197287391,400,*,*,0.971631031,"Intron (ENST00000282272/ENSG00000065413, intron 1 of 27)",2,197250858,197302519,51662,2,ENSG00000236977,ENST00000428191,15128,101927547,ANKRD44-IT1,ANKRD44 intronic transcript 1
4,124712484,124712884,*,-0.772982098,4,124712485,124712884,400,*,*,-0.772982098,Promoter (<=1kb),4,124664048,124712732,48685,2,ENSG00000151458,ENST00000504087,0,57182,ANKRD50,ankyrin repeat domain containing 50
15,40282246,40282646,*,-0.470227308,15,40282247,40282646,400,*,*,-0.470227308,Promoter (<=1kb),15,40278372,40283064,4693,2,ENSG00000230778,ENST00000434396,418,100131244,ANKRD63,ankyrin repeat domain 63
6,46753098,46753498,*,0.507542506,6,46753099,46753498,400,*,*,0.507542506,Promoter (<=1kb),6,46753746,46758424,4679,1,ENSG00000230062,ENST00000445060,-248,100287718,ANKRD66,ankyrin repeat domain 66
12,99463385,99463785,*,-0.652693481,12,99463386,99463785,400,*,*,-0.652693481,"Intron (ENST00000547776/ENSG00000185046, intron 10 of 25)",12,99246484,99386297,139814,2,ENSG00000185046,ENST00000550157,-77089,56899,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
7,36431812,36432212,*,-0.721347193,7,36431813,36432212,400,*,*,-0.721347193,"Intron (ENST00000396068/ENSG00000011426, intron 19 of 22)",7,36422723,36449678,26956,1,ENSG00000011426,ENST00000457743,9090,54443,ANLN,"anillin, actin binding protein"
2,241196720,241197120,*,0.69782598,2,241196721,241197120,400,*,*,0.69782598,Promoter (1-2kb),2,241199097,241200178,1082,1,ENSG00000146205,ENST00000475532,-1977,50636,ANO7,anoctamin 7
9,97999379,97999779,*,2.135405155,9,97999380,97999779,400,*,*,2.135405155,Promoter (<=1kb),9,97998614,98005298,6685,1,ENSG00000136938,ENST00000486769,766,10541,ANP32B,acidic nuclear phosphoprotein 32 family member B
10,46293949,46294349,*,-0.536558859,10,46293950,46294349,400,*,*,-0.536558859,Promoter (1-2kb),10,46292810,46294110,1301,1,ENSG00000274209,ENST00000610892,1140,195977,ANTXRL,ANTXR like
10,73417255,73417655,*,-0.624832208,10,73417256,73417655,400,*,*,-0.624832208,Distal Intergenic,10,73383261,73414076,30816,2,ENSG00000138279,ENST00000492380,-3180,310,ANXA7,annexin A7
10,47452404,47452804,*,0.507142718,10,47452405,47452804,400,*,*,0.507142718,Distal Intergenic,10,47460191,47462683,2493,2,ENSG00000265190,ENST00000602274,9879,653145,ANXA8,annexin A8
7,150848041,150848441,*,-0.477485025,7,150848042,150848441,400,*,*,-0.477485025,"Intron (ENST00000493429/ENSG00000002726, intron 2 of 6)",7,150852009,150857217,5209,1,ENSG00000002726,ENST00000460213,-3568,26,AOC1,amine oxidase copper containing 1
22,29370065,29370465,*,-0.445113914,22,29370066,29370465,400,*,*,-0.445113914,Promoter (<=1kb),22,29341563,29370659,29097,2,ENSG00000100280,ENST00000421126,194,162,AP1B1,adaptor related protein complex 1 subunit beta 1
X,65470433,65470833,*,-0.982298349,X,65470434,65470833,400,*,*,-0.982298349,Promoter (1-2kb),23,65469087,65470380,1294,1,ENSG00000227534,ENST00000433173,1347,645388,AP1M2P1,AP1M2 pseudogene 1
X,93235810,93236210,*,0.417122832,X,93235811,93236210,400,*,*,0.417122832,Distal Intergenic,23,93222220,93225015,2796,2,ENSG00000234130,ENST00000441188,-10796,401602,AP2B1P1,AP2B1 pseudogene 1
14,31077747,31078147,*,-0.668743818,14,31077748,31078147,400,*,*,-0.668743818,"Intron (ENST00000557346/ENSG00000100478, intron 4 of 5)",14,31066296,31073185,6890,1,ENSG00000100478,ENST00000556480,11452,11154,AP4S1,adaptor related protein complex 4 subunit sigma 1
15,29119922,29120322,*,0.634071389,15,29119923,29120322,400,*,*,0.634071389,3' UTR,15,29070658,29102759,32102,1,ENSG00000034053,ENST00000382938,49265,321,APBA2,amyloid beta precursor protein binding family A member 2
15,29090530,29090930,*,0.414121724,15,29090531,29090930,400,*,*,0.414121724,"Intron (ENST00000561069/ENSG00000034053, intron 6 of 14)",15,29070658,29102759,32102,1,ENSG00000034053,ENST00000382938,19873,321,APBA2,amyloid beta precursor protein binding family A member 2
20,58487942,58488342,*,-0.663204174,20,58487943,58488342,400,*,*,-0.663204174,"Intron (ENST00000371149/ENSG00000198768, intron 1 of 3)",20,58461125,58461980,856,2,ENSG00000198768,ENST00000491015,-25963,164284,APCDD1L,APC down-regulated 1 like
3,49679709,49680109,*,-0.797417408,3,49679710,49680109,400,*,*,-0.797417408,Promoter (<=1kb),3,49678911,49682945,4035,1,ENSG00000164062,ENST00000469362,799,327,APEH,acylaminoacyl-peptide hydrolase
6,41054848,41055248,*,-0.911253416,6,41054849,41055248,400,*,*,-0.911253416,Promoter (1-2kb),6,41053202,41064891,11690,1,ENSG00000124701,ENST00000244669,1647,10930,APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2
18,26881551,26881951,*,0.599749593,18,26881552,26881951,400,*,*,0.599749593,"Intron (ENST00000582605/ENSG00000260372, intron 3 of 5)",18,26867954,26935079,67126,1,ENSG00000260372,ENST00000669364,13598,147429,AQP4-AS1,AQP4 antisense RNA 1
4,35861116,35861516,*,0.473530502,4,35861117,35861516,400,*,*,0.473530502,Distal Intergenic,4,36005365,36046034,40670,2,ENSG00000047365,ENST00000513032,184518,116984,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
14,49892739,49893139,*,-0.722866012,14,49892740,49893139,400,*,*,-0.722866012,Promoter (<=1kb),14,49893079,49897054,3976,1,ENSG00000165527,ENST00000693319,0,382,ARF6,ADP ribosylation factor 6
20,48921440,48921840,*,-0.809164876,20,48921441,48921840,400,*,*,-0.809164876,Promoter (<=1kb),20,48921711,49036693,114983,1,ENSG00000124198,ENST00000371917,0,10564,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2
2,143541574,143541974,*,-0.743895022,2,143541575,143541974,400,*,*,-0.743895022,"Intron (ENST00000295095/ENSG00000075884, intron 10 of 13)",2,143556408,143624267,67860,1,ENSG00000075884,ENST00000419455,-14434,55843,ARHGAP15,Rho GTPase activating protein 15
16,24991475,24991875,*,1.083925556,16,24991476,24991875,400,*,*,1.083925556,"Intron (ENST00000289968/ENSG00000140750, intron 1 of 19)",16,24964284,24977456,13173,2,ENSG00000140750,ENST00000571575,-14020,55114,ARHGAP17,Rho GTPase activating protein 17
17,38502686,38503086,*,-0.583816222,17,38502687,38503086,400,*,*,-0.583816222,Promoter (2-3kb),17,38500333,38510118,9786,1,ENSG00000275832,ENST00000618325,2354,57636,ARHGAP23,Rho GTPase activating protein 23
5,142905977,142906377,*,-0.941891894,5,142905978,142906377,400,*,*,-0.941891894,Promoter (<=1kb),5,142907322,143037223,129902,1,ENSG00000145819,ENST00000451259,-945,23092,ARHGAP26,Rho GTPase activating protein 26
20,38635340,38635740,*,-0.485082543,20,38635341,38635740,400,*,*,-0.485082543,"Intron (ENST00000373345/ENSG00000124143, intron 6 of 14)",20,38626996,38650508,23513,1,ENSG00000124143,ENST00000243967,8345,343578,ARHGAP40,Rho GTPase activating protein 40
8,1873462,1873862,*,0.425966913,8,1873463,1873862,400,*,*,0.425966913,Promoter (2-3kb),8,1876051,1927513,51463,1,ENSG00000104728,ENST00000523711,-2189,9639,ARHGEF10,Rho guanine nucleotide exchange factor 10
1,156969468,156969868,*,-0.718467336,1,156969469,156969868,400,*,*,-0.718467336,Promoter (1-2kb),1,156967911,156971825,3915,2,ENSG00000132694,ENST00000483682,1957,9826,ARHGEF11,Rho guanine nucleotide exchange factor 11
11,73308208,73308608,*,-0.767623894,11,73308209,73308608,400,*,*,-0.767623894,Promoter (<=1kb),11,73308276,73369388,61113,1,ENSG00000110237,ENST00000263674,0,9828,ARHGEF17,Rho guanine nucleotide exchange factor 17
1,235328198,235328598,*,-0.771867215,1,235328199,235328598,400,*,*,-0.771867215,Promoter (<=1kb),1,235166895,235328219,161325,2,ENSG00000054267,ENST00000349213,0,51742,ARID4B,AT-rich interaction domain 4B
3,48918312,48918712,*,-0.479414664,3,48918313,48918712,400,*,*,-0.479414664,Promoter (<=1kb),3,48918821,48961679,42859,1,ENSG00000177479,ENST00000452882,-109,10425,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
8,65634041,65634441,*,-0.577774655,8,65634042,65634441,400,*,*,-0.577774655,Promoter (<=1kb),8,65602458,65634177,31720,2,ENSG00000104442,ENST00000276569,0,55156,ARMC1,armadillo repeat containing 1
10,102004880,102005280,*,-0.629732595,10,102004881,102005280,400,*,*,-0.629732595,Promoter (2-3kb),10,101990551,102002064,11514,2,ENSG00000120029,ENST00000456149,-2817,79591,ARMH3,armadillo like helical domain containing 3
1,150876644,150877044,*,-0.487650226,1,150876645,150877044,400,*,*,-0.487650226,Promoter (<=1kb),1,150810094,150876705,66612,2,ENSG00000143437,ENST00000471844,0,405,ARNT,aryl hydrocarbon receptor nuclear translocator
15,80409984,80410384,*,-0.85547106,15,80409985,80410384,400,*,*,-0.85547106,"Intron (ENST00000529181/ENSG00000172379, intron 1 of 4)",15,80404382,80597933,193552,1,ENSG00000172379,ENST00000303329,5603,9915,ARNT2,aryl hydrocarbon receptor nuclear translocator 2
5,91383287,91383687,*,-0.423565221,5,91383288,91383687,400,*,*,-0.423565221,Promoter (<=1kb),5,91368631,91383317,14687,2,ENSG00000113369,ENST00000265138,0,57561,ARRDC3,arrestin domain containing 3
15,97960344,97960744,*,-0.762877345,15,97960345,97960744,400,*,*,-0.762877345,Promoter (<=1kb),15,97960703,97973833,13131,1,ENSG00000140450,ENST00000268042,0,91947,ARRDC4,arrestin domain containing 4
5,78929681,78930081,*,1.293141118,5,78929682,78930081,400,*,*,1.293141118,"Intron (ENST00000264914/ENSG00000113273, intron 4 of 7)",5,78884294,78955374,71081,2,ENSG00000113273,ENST00000521800,25293,411,ARSB,arylsulfatase B
5,78974736,78975136,*,-0.571303345,5,78974737,78975136,400,*,*,-0.571303345,"Intron (ENST00000264914/ENSG00000113273, intron 1 of 7)",5,78882882,78985249,102368,2,ENSG00000113273,ENST00000565165,10113,411,ARSB,arylsulfatase B
5,78864067,78864467,*,-0.506223323,5,78864068,78864467,400,*,*,-0.506223323,"Intron (ENST00000264914/ENSG00000113273, intron 5 of 7)",5,78780352,78783494,3143,2,ENSG00000113273,ENST00000521011,-80574,411,ARSB,arylsulfatase B
X,2928934,2929334,*,1.368300504,X,2928935,2929334,400,*,*,1.368300504,Promoter (<=1kb),23,2913614,2929275,15662,2,ENSG00000006756,ENST00000217890,0,414,ARSD,arylsulfatase D
10,50287615,50288015,*,-0.701765721,10,50287616,50288015,400,*,*,-0.701765721,Distal Intergenic,10,50182778,50279720,96943,2,ENSG00000188611,ENST00000395526,-7896,56624,ASAH2,N-acylsphingosine amidohydrolase 2
7,151189833,151190233,*,0.479298954,7,151189834,151190233,400,*,*,0.479298954,Promoter (2-3kb),7,151175698,151187832,12135,2,ENSG00000146926,ENST00000377867,-2002,136371,ASB10,ankyrin repeat and SOCS box containing 10
2,53709435,53709835,*,-0.432917472,2,53709436,53709835,400,*,*,-0.432917472,"Intron (ENST00000406053/ENSG00000115239, intron 6 of 9)",2,53670606,53694562,23957,2,ENSG00000115239,ENST00000470707,-14874,51130,ASB3,ankyrin repeat and SOCS box containing 3
6,100881127,100881527,*,-0.687152148,6,100881128,100881527,400,*,*,-0.687152148,Promoter (<=1kb),6,100508194,100881329,373136,2,ENSG00000112249,ENST00000369162,0,10973,ASCC3,activating signal cointegrator 1 complex subunit 3
7,66092638,66093038,*,1.031536898,7,66092639,66093038,400,*,*,1.031536898,3' UTR,7,66089239,66092954,3716,1,ENSG00000126522,ENST00000464970,3400,435,ASL,argininosuccinate lyase
2,70047101,70047501,*,1.361996002,2,70047102,70047501,400,*,*,1.361996002,Promoter (<=1kb),2,70032210,70046664,14455,2,ENSG00000179818,ENST00000627019,-438,151516,ASPRV1,aspartic peptidase retroviral like 1
